variable,samples,response,method,test statistic,runtime,p.value,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
Noise,900,UU,CQO,1.0461021260798167e-4,1888.1670000000013,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,900,UU,CQO,5.401347946914484,1942.8949999999968,0,0,0,0,0,0,0,0,0,0,0
env2,900,UU,CQO,5.401326300141238,1942.8949999999968,0,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,2.888667172457214e-4,1942.8949999999968,0.9405940594059405,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,2.5331964143410115e-4,1942.8949999999968,0.9702970297029703,0,0,0,0,0,0,0,0,0,0
env1,900,UU,CQO,5.584376790100032,1938.7489999999962,0,0,0,0,0,0,0,0,0,0,0
env2,900,UU,CQO,5.584376205484893,1938.7489999999962,0,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,5.25199689231299e-4,1938.7489999999962,0.8217821782178217,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,2.6596089342448027e-4,1938.7489999999962,0.9504950495049505,0,0,0,0,0,0,0,0,0,0
env1,25,UL,CQO,1.1029191650090024,21.40799999999581,0.1782178217821782,1,1,1,1,1,0,0,0,0,0
env2,25,UL,CQO,1.098458882304811,21.40799999999581,0.10891089108910891,1,1,1,1,1,0,0,0,0,0
Noise,25,UL,CQO,0.014703061824207723,21.40799999999581,0.9108910891089109,0,0,0,0,0,0,0,0,0,0
Noise,25,UL,CQO,0.09816201931159155,21.40799999999581,0.43564356435643564,0,0,0,0,0,0,0,0,0,0
env1,25,UL,CQO,4.872717085427883,82.10700000000361,0,0,0,0,0,0,0,0,0,0,0
env2,25,UL,CQO,1.1237942586353142,82.10700000000361,0.3069306930693069,1,1,1,1,1,0,0,0,0,0
Noise,25,UL,CQO,0.052560503196834335,82.10700000000361,0.6831683168316832,0,0,0,0,0,0,0,0,0,0
Noise,25,UL,CQO,0.054126416989066756,82.10700000000361,0.6732673267326733,0,0,0,0,0,0,0,0,0,0
env1,25,UL,CQO,1.2949762565041487,17.911999999996624,0.07920792079207921,1,1,1,1,0,0,0,0,0,0
env2,25,UL,CQO,1.2870360504812595,17.911999999996624,0.09900990099009901,1,1,1,1,0,0,0,0,0,0
Noise,25,UL,CQO,0.0843240821771577,17.911999999996624,0.594059405940594,0,0,0,0,0,0,0,0,0,0
Noise,25,UL,CQO,0.11572019591827849,17.911999999996624,0.5643564356435643,0,0,0,0,0,0,0,0,0,0
env1,25,UL,CQO,4.926508317356831,26.187999999994645,0,0,0,0,0,0,0,0,0,0,0
env2,25,UL,CQO,0.8367490024098833,26.187999999994645,0.504950495049505,1,1,1,1,1,0,0,0,0,0
Noise,25,UL,CQO,0.04419239013752207,26.187999999994645,0.8613861386138614,0,0,0,0,0,0,0,0,0,0
Noise,25,UL,CQO,0.08388391708139965,26.187999999994645,0.6336633663366337,0,0,0,0,0,0,0,0,0,0
env1,25,UL,CQO,1.0312041124203069,19.529999999998836,0.37623762376237624,1,1,1,1,1,0,0,0,0,0
env2,25,UL,CQO,1.0219170102911685,19.529999999998836,0.42574257425742573,1,1,1,1,1,0,0,0,0,0
Noise,25,UL,CQO,0.12468318837468531,19.529999999998836,0.5346534653465347,0,0,0,0,0,0,0,0,0,0
Noise,25,UL,CQO,0.059754515012028574,19.529999999998836,0.5643564356435643,0,0,0,0,0,0,0,0,0,0
env1,100,UL,CQO,1.3285421622397495,44.19899999999325,0.009900990099009901,0,0,0,0,0,0,0,0,0,0
env2,100,UL,CQO,1.3270341541341164,44.19899999999325,0.009900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,100,UL,CQO,0.030765535055829758,44.19899999999325,0.3069306930693069,0,0,0,0,0,0,0,0,0,0
Noise,100,UL,CQO,0.055309184898461504,44.19899999999325,0.2079207920792079,0,0,0,0,0,0,0,0,0,0
env1,100,UL,CQO,1.079092555013154,60.9149999999936,0.12871287128712872,1,1,1,1,1,0,0,0,0,0
env2,100,UL,CQO,1.0789978459616345,60.9149999999936,0.19801980198019803,1,1,1,1,1,0,0,0,0,0
Noise,100,UL,CQO,0.013265166303572589,60.9149999999936,0.6633663366336634,0,0,0,0,0,0,0,0,0,0
Noise,100,UL,CQO,0.0063708163760408405,60.9149999999936,0.8217821782178217,0,0,0,0,0,0,0,0,0,0
env1,100,UL,CQO,4.286449860323636,59.353999999992084,0,0,0,0,0,0,0,0,0,0,0
env2,100,UL,CQO,0.8916660624686246,59.353999999992084,0.6039603960396039,1,1,1,1,1,0,0,0,0,0
Noise,100,UL,CQO,0.0032757823936423276,59.353999999992084,0.9108910891089109,0,0,0,0,0,0,0,0,0,0
Noise,100,UL,CQO,0.026572240656006923,59.353999999992084,0.45544554455445546,0,0,0,0,0,0,0,0,0,0
env1,100,UL,CQO,1.1353930651650324,72.08000000000175,0.21782178217821782,1,1,1,1,1,0,0,0,0,0
env2,100,UL,CQO,1.1352986763896458,72.08000000000175,0.38613861386138615,1,1,1,1,1,0,0,0,0,0
Noise,100,UL,CQO,0.010963936855858378,72.08000000000175,0.7821782178217822,0,0,0,0,0,0,0,0,0,0
Noise,100,UL,CQO,0.00975457432122918,72.08000000000175,0.7722772277227723,0,0,0,0,0,0,0,0,0,0
env1,100,UL,CQO,1.39353197276806,73.5850000000064,0,0,0,0,0,0,0,0,0,0,0
env2,100,UL,CQO,1.3929898249954475,73.5850000000064,0,0,0,0,0,0,0,0,0,0,0
Noise,100,UL,CQO,0.03859558560382548,73.5850000000064,0.3069306930693069,0,0,0,0,0,0,0,0,0,0
Noise,100,UL,CQO,0.004797469355576374,73.5850000000064,0.8910891089108911,0,0,0,0,0,0,0,0,0,0
env1,225,UL,CQO,1.369305731666087,191.1070000000036,0,0,0,0,0,0,0,0,0,0,0
env2,225,UL,CQO,1.3689134737991577,191.1070000000036,0,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.006457035738584288,191.1070000000036,0.693069306930693,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.03213582946167855,191.1070000000036,0.22772277227722773,0,0,0,0,0,0,0,0,0,0
env1,225,UL,CQO,1.3688221185482434,132.35599999999977,0.009900990099009901,0,0,0,0,0,0,0,0,0,0
env2,225,UL,CQO,1.368409724319994,132.35599999999977,0.0297029702970297,1,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.03142422697028058,132.35599999999977,0.15841584158415842,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.011892275314944339,132.35599999999977,0.5346534653465347,0,0,0,0,0,0,0,0,0,0
env1,225,UL,CQO,1.4006741512830598,111.5170000000071,0,0,0,0,0,0,0,0,0,0,0
env2,225,UL,CQO,1.4005080077373901,111.5170000000071,0,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.01945446768200737,111.5170000000071,0.2871287128712871,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.009343435454257788,111.5170000000071,0.6138613861386139,0,0,0,0,0,0,0,0,0,0
env1,225,UL,CQO,1.3515585366479166,122.11299999999756,0,0,0,0,0,0,0,0,0,0,0
env2,225,UL,CQO,1.3511759557875092,122.11299999999756,0.009900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.032163757392338795,122.11299999999756,0.22772277227722773,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,3.7351557845801504e-4,122.11299999999756,0.9801980198019802,0,0,0,0,0,0,0,0,0,0
env1,225,UL,CQO,1.3902783379364914,124.1770000000106,0.009900990099009901,0,0,0,0,0,0,0,0,0,0
env2,225,UL,CQO,1.3901539612841218,124.1770000000106,0.009900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.0012310542721810798,124.1770000000106,0.9405940594059405,0,0,0,0,0,0,0,0,0,0
Noise,225,UL,CQO,0.018555865045915963,124.1770000000106,0.39603960396039606,0,0,0,0,0,0,0,0,0,0
env1,400,UL,CQO,1.324623485867521,308.03399999999965,0.0297029702970297,1,0,0,0,0,0,0,0,0,0
env2,400,UL,CQO,1.3245555251789736,308.03399999999965,0.009900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.00646882734703285,308.03399999999965,0.7227722772277227,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.011756443997000533,308.03399999999965,0.4752475247524752,0,0,0,0,0,0,0,0,0,0
env1,400,UL,CQO,1.407560472782417,171.33899999999267,0,0,0,0,0,0,0,0,0,0,0
env2,400,UL,CQO,1.4072910465498074,171.33899999999267,0,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.011887363619762295,171.33899999999267,0.5346534653465347,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.02484706147252589,171.33899999999267,0.25742574257425743,0,0,0,0,0,0,0,0,0,0
env1,400,UL,CQO,1.3902905430500252,197.94000000000233,0,0,0,0,0,0,0,0,0,0,0
env2,400,UL,CQO,1.3902096443107,197.94000000000233,0,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.00922904581674349,197.94000000000233,0.45544554455445546,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.011828464459845124,197.94000000000233,0.5346534653465347,0,0,0,0,0,0,0,0,0,0
env1,400,UL,CQO,4.071376062553461,908.4349999999977,0,0,0,0,0,0,0,0,0,0,0
env2,400,UL,CQO,0.8178355445953986,908.4349999999977,0.38613861386138615,1,1,1,1,1,0,0,0,0,0
Noise,400,UL,CQO,0.017157242038235283,908.4349999999977,0.3564356435643564,0,0,0,0,0,0,0,0,0,0
Noise,400,UL,CQO,0.005811471521465366,908.4349999999977,0.7029702970297029,0,0,0,0,0,0,0,0,0,0
env1,400,UL,CQO,1.340340638962692,184.33900000000722,0,0,0,0,0,0,0,0,0,0,0
env2,400,UL,CQO,1.3403338472243758,184.33900000000722,0.039603960396039604,1,1,0,0,0,0,0,0,0,0
