variable,test statistic,p.value,response,samples,runtime,method,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
Noise,7.11564575456714,0.8651348651348651,UU,625,5251.428,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1419.3670492894348,9.99000999000999e-4,UU,625,5265.322,mvglm,0,0,0,0,0,0,0,0,0,0
env2,1486.1504422020462,9.99000999000999e-4,UU,625,5265.322,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,5.618161342622898,0.9120879120879121,UU,625,5265.322,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,1.5015900088092167,0.999000999000999,UU,625,5265.322,mvglm,0,0,0,0,0,0,0,0,0,0
env1,2100.7815743832994,9.99000999000999e-4,UU,900,7748.516000000003,mvglm,0,0,0,0,0,0,0,0,0,0
env2,2226.419125395889,9.99000999000999e-4,UU,900,7748.516000000003,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.321293045883067,0.8931068931068931,UU,900,7748.516000000003,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.4195871886790883,0.9820179820179821,UU,900,7748.516000000003,mvglm,0,0,0,0,0,0,0,0,0,0
env1,2100.7815743832994,9.99000999000999e-4,UU,900,7733.476999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env2,2226.419125395889,9.99000999000999e-4,UU,900,7733.476999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.5874077435046274,0.98001998001998,UU,900,7733.476999999999,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.039805394207178,0.968031968031968,UU,900,7733.476999999999,mvglm,0,0,0,0,0,0,0,0,0,0
env1,2100.7815743832994,9.99000999000999e-4,UU,900,7819.9649999999965,mvglm,0,0,0,0,0,0,0,0,0,0
env2,2226.419125395889,9.99000999000999e-4,UU,900,7819.9649999999965,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,15.80320020414365,0.3786213786213786,UU,900,7819.9649999999965,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,13.844082486937623,0.46853146853146854,UU,900,7819.9649999999965,mvglm,0,0,0,0,0,0,0,0,0,0
env1,2100.7815743832994,9.99000999000999e-4,UU,900,7803.400999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env2,2226.419125395889,9.99000999000999e-4,UU,900,7803.400999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,9.941747881091942,0.6863136863136863,UU,900,7803.400999999998,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,5.088491719503054,0.949050949050949,UU,900,7803.400999999998,mvglm,0,0,0,0,0,0,0,0,0,0
env1,2100.7815743832994,9.99000999000999e-4,UU,900,7881.380000000005,mvglm,0,0,0,0,0,0,0,0,0,0
env2,2226.419125395889,9.99000999000999e-4,UU,900,7881.380000000005,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.939045037006963,0.8781218781218781,UU,900,7881.380000000005,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,7.348462323959666,0.8311688311688312,UU,900,7881.380000000005,mvglm,0,0,0,0,0,0,0,0,0,0
env1,102.82234983421809,9.99000999000999e-4,UL,25,123.94599999999627,mvglm,0,0,0,0,0,0,0,0,0,0
env2,22.87536648751066,0.14085914085914086,UL,25,123.94599999999627,mvglm,1,1,1,1,1,0,0,0,0,0
Noise,4.214326309955069,0.8561438561438561,UL,25,123.94599999999627,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,10.775239893822473,0.5824175824175825,UL,25,123.94599999999627,mvglm,0,0,0,0,0,0,0,0,0,0
env1,102.82234983421809,9.99000999000999e-4,UL,25,117.96099999999569,mvglm,0,0,0,0,0,0,0,0,0,0
env2,22.87536648751066,0.14785214785214784,UL,25,117.96099999999569,mvglm,1,1,1,1,1,0,0,0,0,0
Noise,2.8733921793121198,0.926073926073926,UL,25,117.96099999999569,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,2.0378411518161244,0.973026973026973,UL,25,117.96099999999569,mvglm,0,0,0,0,0,0,0,0,0,0
env1,102.82234983421809,9.99000999000999e-4,UL,25,126.20900000000256,mvglm,0,0,0,0,0,0,0,0,0,0
env2,22.87536648751066,0.15284715284715283,UL,25,126.20900000000256,mvglm,1,1,1,1,1,0,0,0,0,0
Noise,2.7794427883540607,0.9170829170829171,UL,25,126.20900000000256,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,12.19399242171609,0.6193806193806194,UL,25,126.20900000000256,mvglm,0,0,0,0,0,0,0,0,0,0
env1,102.82234983421809,9.99000999000999e-4,UL,25,123.83400000000256,mvglm,0,0,0,0,0,0,0,0,0,0
env2,22.87536648751066,0.15184815184815184,UL,25,123.83400000000256,mvglm,1,1,1,1,1,0,0,0,0,0
Noise,7.788076034990212,0.6533466533466533,UL,25,123.83400000000256,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.829591842588513,0.7692307692307693,UL,25,123.83400000000256,mvglm,0,0,0,0,0,0,0,0,0,0
env1,102.82234983421809,9.99000999000999e-4,UL,25,122.62799999999697,mvglm,0,0,0,0,0,0,0,0,0,0
env2,22.87536648751066,0.13686313686313686,UL,25,122.62799999999697,mvglm,1,1,1,1,1,0,0,0,0,0
Noise,8.19154841429588,0.5684315684315684,UL,25,122.62799999999697,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,2.7275737074602233,0.948051948051948,UL,25,122.62799999999697,mvglm,0,0,0,0,0,0,0,0,0,0
env1,576.5395361185001,9.99000999000999e-4,UL,100,358.8390000000072,mvglm,0,0,0,0,0,0,0,0,0,0
env2,84.18434851518856,9.99000999000999e-4,UL,100,358.8390000000072,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,6.197039070851133,0.6003996003996004,UL,100,358.8390000000072,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,10.557114686015609,0.3226773226773227,UL,100,358.8390000000072,mvglm,0,0,0,0,0,0,0,0,0,0
env1,576.5395361185001,9.99000999000999e-4,UL,100,362.67699999999604,mvglm,0,0,0,0,0,0,0,0,0,0
env2,84.18434851518856,9.99000999000999e-4,UL,100,362.67699999999604,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.7697426499859716,0.8161838161838162,UL,100,362.67699999999604,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.069035663986767,0.8061938061938062,UL,100,362.67699999999604,mvglm,0,0,0,0,0,0,0,0,0,0
env1,576.5395361185001,9.99000999000999e-4,UL,100,365.3549999999959,mvglm,0,0,0,0,0,0,0,0,0,0
env2,84.18434851518856,9.99000999000999e-4,UL,100,365.3549999999959,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,7.2192404677596755,0.5204795204795205,UL,100,365.3549999999959,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.954891109117568,0.7102897102897103,UL,100,365.3549999999959,mvglm,0,0,0,0,0,0,0,0,0,0
env1,576.5395361185001,9.99000999000999e-4,UL,100,369.02999999999884,mvglm,0,0,0,0,0,0,0,0,0,0
env2,84.18434851518856,9.99000999000999e-4,UL,100,369.02999999999884,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,1.814850333697791,0.955044955044955,UL,100,369.02999999999884,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,1.9029703869441619,0.959040959040959,UL,100,369.02999999999884,mvglm,0,0,0,0,0,0,0,0,0,0
env1,576.5395361185001,9.99000999000999e-4,UL,100,381.68799999999464,mvglm,0,0,0,0,0,0,0,0,0,0
env2,84.18434851518856,9.99000999000999e-4,UL,100,381.68799999999464,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.888421569348623,0.7272727272727273,UL,100,381.68799999999464,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,2.0113131270445592,0.965034965034965,UL,100,381.68799999999464,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1365.7218274470802,9.99000999000999e-4,UL,225,763.2839999999997,mvglm,0,0,0,0,0,0,0,0,0,0
env2,185.82643380195282,9.99000999000999e-4,UL,225,763.2839999999997,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,4.459083377858633,0.6943056943056943,UL,225,763.2839999999997,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,12.519931721976945,0.14785214785214784,UL,225,763.2839999999997,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1365.7218274470802,9.99000999000999e-4,UL,225,747.0449999999983,mvglm,0,0,0,0,0,0,0,0,0,0
env2,185.82643380195282,9.99000999000999e-4,UL,225,747.0449999999983,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,8.10371945704128,0.38161838161838163,UL,225,747.0449999999983,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,1.439284874988516,0.972027972027972,UL,225,747.0449999999983,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1365.7218274470802,9.99000999000999e-4,UL,225,743.679999999993,mvglm,0,0,0,0,0,0,0,0,0,0
env2,185.82643380195282,9.99000999000999e-4,UL,225,743.679999999993,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,1.8583925552559322,0.965034965034965,UL,225,743.679999999993,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,1.9784155972242843,0.9460539460539461,UL,225,743.679999999993,mvglm,0,0,0,0,0,0,0,0,0,0
env1,1365.7218274470802,9.99000999000999e-4,UL,225,745.1609999999928,mvglm,0,0,0,0,0,0,0,0,0,0
env2,185.82643380195282,9.99000999000999e-4,UL,225,745.1609999999928,mvglm,0,0,0,0,0,0,0,0,0,0
Noise,3.2191689756330106,0.8461538461538461,UL,225,745.1609999999928,mvglm,0,0,0,0,0,0,0,0,0,0
